Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
The Next Time I Fall (Single),Peter Cetera,,,,,0
On My Own (Single),Michael McDonald,,,,,0
Holding Back the Years - Extended Single Mix; 2008 Remaster,Simply Red,Picture Book (Expanded Version),1985,36.0,340266.0,0
All I Need Is A Miracle (Single),nan,,,,,0
The Brazilian (Track),Genesis,,,,,0
Overjoyed (Track),Stanley Clarke,,,,,0
Johnny's Theme (The Tonight Show Theme) (Track),Doc Severinsen,,,,,0
David Foster (Album),David Foster,,,,,0
Windham Hill Records Sampler '86,nan,,,,,0
Rendez-Vous (Album),Jean-Michel Jarre,,,,,0
Canyon (Album),Paul Winter,,,,,0
A Winter's Solstice (Album),nan,,,,,0
Talk To Me (Single),Stevie Nicks,,,,,0
Sex As A Weapon (Single),Pat Benatar,,,,,0
No Way To Treat A Lady (Single),Bonnie Raitt,,,,,0
911 (Track),Cyndi Lauper,,,,,0
To Be A Lover (Single),Billy Idol,,,,,0
Take Me Home Tonight (Single),Eddie Money,,,,,0
Sledgehammer (Single),Peter Gabriel,,,,,0
Eye Of The Zombie (Album),John Fogerty,,,,,0
Tuff Enuff (Single),nan,,,,,0
Sun City (Single),nan,,,,,0
Harlem Shuffle (Single),nan,,,,,0
Afterburner (Album),ZZ Top,,,,,0
Zap (Track),Eric Johnson,,,,,0
Where's The Walrus? (Track),nan,,,,,0
Down At Antones (Track),nan,,,,,0
Amazing Grace (Track),nan,,,,,0
Winner In You (Album),Patti LaBelle,,,,,0
Jumpin' Jack Flash (Single),Aretha Franklin,,,,,0
My Destiny,Chaka Khan,The Studio Album Collection: 1978 - 1992,2013-07-17,0.0,279173.0,0
Control (Album),Janet Jackson,,,,,0
The Rain (Single),"Oran ""Juice"" Jones",,,,,0
Since I Fell For You (Track),Al Jarreau,,,,,0
Love Zone (Single),Billy Ocean,,,,,0
Give Me the Reason - Single Version,Luther Vandross,Smooth Jazz On A Summer's Day,2000-06-05,2.0,285106.0,0
Word Up! - Single Version,Cameo,The Definitive Collection,2006-03-14,9.0,259666.0,0
The Super Bowl Shuffle (Single),nan,,,,,0
Real Real Love (feat. Winston Irie),Nancy Atlas,Feels Like Home Album 2 - Nancy Atlas Live At Guild Hall,2007-01-01,0.0,288880.0,0
Raising Hell (Album),Run-D.M.C.,,,,,0
Promise (Album),Sade,,,,,0
Zanzibar Breeze (Track),Billy Cobham,,,,,0
The Boys Of Johnson Street (Track),Stanley Clarke,,,,,0
Movie Song (Track),Kashif,,,,,0
Duotones (Album),Kenny G,,,,,0
What Have You Done For Me Lately (Single),nan,,,,,0
Living In America (Single),nan,,,,,0
KISS or KISS,Nana Kitade,Berry Berry SINGLES,2007,2.0,237813.0,0
Give Me The Reason,nan,,,,,0
The Chick Corea Elektric Band (Album),Chick Corea,,,,,0
Lyle Mays (Album),Lyle Mays,,,,,0
Free Fall (Album),Clare Fischer,,,,,0
Earth Run (Album),Lee Ritenour,,,,,0
Uptown (Album),Maxine Sullivan,,,,,0
Flight Of Fancy (Album),Sue Raney,,,,,0
Esquinas (Track),nan,,,,,0
Blues In The Night (Album),Etta James,,,,,0
She's Out Of My Life (Track),Grady Tate,,,,,0
Midnight Lady Called The Blues (Album),nan,,,,,0
I Just Want To Sing (Album),Joe Williams,,,,,0
An Elegant Evening,nan,,,,,0
Teach Me Tonight (Track),Betty Joplin,,,,,0
From All Sides (Album),Gerald Eskelin,,,,,0
Fresh! (Album),nan,,,,,0
Bogie (Album),nan,,,,,0
Royal Garden Blues (Album),nan,,,,,0
Insane Asylum (Track),nan,,,,,0
Closer To The Source (Album),nan,,,,,0
Breakthrough (Album),nan,,,,,0
Swing Reunion (Album),Louis Bellson,,,,,0
Standards Live (Album),Jack De Johnette,,,,,0
Soft Lights And Sweet Music (Album),Scott Hamilton,,,,,0
Art Blakey And The Jazz Messengers Live At Sweet Basil (Album),Art Blakey,,,,,0
Sentimental Journey (Album),Lionel Hampton,,,,,0
Let's Dance (Album),Benny Goodman,,,,,0
50th Anniversary Tour (Album),Woody Herman,,,,,0
20 Years At The Village Vanguard (Album),Mel Lewis,,,,,0
Today I Started Loving You Again - Single Version,Emmylou Harris,Emmylou Harris Anthology: The Warner/Reprise Years,2001-04-20,10.0,204866.0,0
Love At The Five And Dime (Single),Kathy Mattea,,,,,0
Daddy's Hands (Single),Holly Dunn,,,,,0
Cry (Single),Crystal Gayle,,,,,0
"Guitars, Cadillacs (Album)",Dwight Yoakam,,,,,0
Guitar Town (Album),Steve Earle,,,,,0
Diggin' Up Bones (Single),Randy Travis,,,,,0
Ain't Misbehavin' (Single),Hank Williams Jr.,,,,,0
She Used To Be Somebody's Baby (Single),Larry Gatlin,,,,,0
She And I (Single),Alabama,,,,,0
Class Of '55 (Album),Johnny Cash,,,,,0
Born Yesterday (Album),Everly Brothers,,,,,0
Under The Wire (Album),Jerry Douglas,,,,,0
Speechless (Album),Albert Lee,,,,,0
Seven By Seven (Track),New Grass Revival,,,,,0
Meanings Of (Album),Mark O'Connor,,,,,0
Whoever's In New England (Single),nan,,,,,0
"Guitars, Cadillacs (Single)",nan,,,,,0
Guitar Town (Single),nan,,,,,0
Daddy's Hands (Single),nan,,,,,0
Voices In The Wind (Album),Teri DeSario,,,,,0
So Glad I Know (Album),Deniece Williams,,,,,0
Shadowlands (Album),Sheila Walsh,,,,,0
Immortal (Album),Cynthia Clawson,,,,,0
The Big Picture (Album),Michael W. Smith,,,,,0
It's Only Natural (Track),Bebe Winans,,,,,0
From A Servant's Heart (Album),Larnelle Harris,,,,,0
Medley: Only Jesus And Calvary's Love - For God And God Alone Album Version,Steve Green,People Need The Lord,1994-01-01,7.0,342640.0,0
Undivided (Album),First Call,,,,,0
Street Light (Album),nan,,,,,0
Our Blessed Savior Has Come (Track),Carman,,,,,0
You Are I Am - Back To The Street Album Version,Petra,Petra Power Praise,1994-01-01,6.0,190093.0,0
The Search Is Over (Album),Tramaine Hawkins,,,,,0
Spirit (Album),Albertina Walker,,,,,0
Sing A Song (Album),Candi Staton,,,,,0
Celebration (Album),Shirley Caesar,,,,,0
Worthy (Album),Rodney Friend,,,,,0
Totally Committed (Album),Howard Smith,,,,,0
Just Daryl (Album),Daryl Coley,,,,,0
Glorious Day (Album),Derrick Brinkley,,,,,0
Jesus Is Mine (Track),Shirley Caesar,,,,,0
James Cleveland And The Southern California Community Choir (Album),James Cleveland,,,,,0
Dorothy Norwood And Friends (Album),Dorothy Norwood,,,,,0
Choose Ye (Track),Vanessa Bell Armstrong,,,,,0
Yo Te Pido Amor (Track),Yuri,,,,,0
Pruebame (Single),Jose Jose,,,,,0
Inolvidable Tito... A Mi Me Pasa Lo Mismo Que A Usted (Album),Danny Rivera,,,,,0
Como Te Va Mi Amor (Track),Pandora,,,,,0
Nueva Cosecha (Album),Willie Rosario,,,,,0
Homenaje A Beny More - Vol. III (Album),Celia Cruz,,,,,0
Especial No. 5 (Album),Willie Colon,,,,,0
Afro-Cuban Jazz (Album),Mario Bauza,,,,,0
Y...Zas! (Album),Rafael Buendia,,,,,0
Unidos Cantemos (Single),Salvador Torres,,,,,0
Turn Me Loose,Steve Jordan,,,,,0
Juan Valentin (Album),Juan Valentin,,,,,0
El Otro Mexico (Album),Los Tigres Del Norte,,,,,0
Corazon Vacio (Single),Los Yonics,,,,,0
Pressure Cooker (Album),"Clarence ""Gatemouth"" Brown",,,,,0
Live! Backstage Access (Album),Willie Dixon,,,,,0
Live From Chicago - Mr. Superharp Himself! (Album),James Cotton,,,,,0
Jealous (Album),John Lee Hooker,,,,,0
Waitin' For My Ya Ya,Buckwheat Zydeco,,,,,0
Hot Steppin' With Rockin' Sidney (Album),Rockin' Sidney,,,,,0
Caught In The Act (Album),Queen Ida,,,,,0
20th Anniversary Concert (Album),New Lost City Ramblers,,,,,0
No Easy Walk To Freedom,nan,,,,,0
Last Of The True Believers (Album),Nanci Griffith,,,,,0
I'm Alright (Album),Loudon Wainwright III,,,,,0
German Afternoons (Album),John Prine,,,,,0
Thank You Dear And Give Her Roses (Album),Hank Haller Ensemble,,,,,0
By Special Request,Walter Ostanek,,,,,0
America's Favorites (Album),Frank Yankovic,,,,,0
Rasta Philosophy (Album),nan,,,,,0
Linton Kwesi Johnson In Concert With The Dub Band (Album),Linton Kwesi Johnson,,,,,0
Club Paradise (Single),Jimmy Cliff,,,,,0
Brutal (Album),Black Uhuru,,,,,0
One-Minute Bedtime Stories (Album),Shari Lewis,,,,,0
Itsy Bitsy Spider (Single),Carly Simon,,,,,0
A Light In The Attic (Album),Shel Silverstein,,,,,0
Appalachian Lullaby,Tanya Goodman,A Child's Gift of Lullabyes,1987-01-01,35.0,189360.0,0
Twist And Shout,Rodney Dangerfield,,,,,0
Playin' With Your Head (Album),George Carlin,,,,,0
Mud Will Be Flung Tonight! (Album),Bette Midler,,,,,0
I Have A Pony (Album),Steven Wright,,,,,0
Bob And Ray: A Night Of Two Stars Recorded Live At Carnegie Hall,nan,,,,,0
The Stories Of Ray Bradbury (Album),Ray Bradbury,,,,,0
Interview With The Vampire,F. Murray Abraham,,,,,0
Hardheaded Boys (Album),Bill Cosby,,,,,0
Gulliver (Album),John Gielgud,,,,,0
The Mystery Of Edwin Drood (Original Broadway Cast Recording) (Album),nan,,,,,0
Sweet Charity (Original Broadway Cast) (Album),nan,,,,,0
Song And Dance (Album),nan,,,,,0
Me And My Girl (Original Cast Album) (Album),nan,,,,,0
Young Sherlock Holmes (Music From The Motion Picture Soundtrack) (Album),nan,,,,,0
Top Gun Anthem (Track),nan,,,,,0
J Mood (Track),nan,,,,,0
Elektric City (Track),nan,,,,,0
Earth Run (Track),nan,,,,,0
Aliens (Original Motion Picture Soundtrack) (Album),nan,,,,,0
So Excited (Video),nan,,,,,0
Rupert And The Frog Song (Video),Paul McCartney,,,,,0
Runaway (Video),Luis Cardenas,,,,,0
Brother Where You Bound (Video),Supertramp,,,,,0
Sunset Bird,Nano Sounds,Peaceful City Nature,2022-09-29,0.0,68356.0,0
Pete Townshend: White City - The Music Movie (Video),Pete Townshend,,,,,0
Frank Sinatra: Portrait Of An Album (Video),Frank Sinatra,,,,,0
9012 Live (Video),Yes,,,,,0
The First Letter (Track),nan,,,,,0
Solfeggietto Metamorphosis (Track),nan,,,,,0
Cherokee (Track),nan,,,,,0
Am/Pm (Track),nan,,,,,0
Free Fall (Track),nan,,,,,0
Forget The Woman (Track),nan,,,,,0
A Time For Love (Track),nan,,,,,0
True Stories (Album),nan,,,,,0
"The Voice, The Columbia Years 1943-1952 (Album)",nan,,,,,0
Stereotomy,nan,,,,,0
Songs Unspoken (Album),nan,,,,,0
Virtuosi (Album),nan,,,,,0
The Mapleson Cylinders (Album),nan,,,,,0
Elektrock The Sixties (Album),nan,,,,,0
Biograph (Album),nan,,,,,0
"The Voice, The Columbia Years 1943-1952 (Album)",nan,,,,,0
The Mapleson Cylinders (Album),nan,,,,,0
The Complete Keynote Collection (Album),nan,,,,,0
Biograph (Album),nan,,,,,0
Riptide (Album),nan,,,,,0
GRP Live In Session (Album),nan,,,,,0
Dog Eat Dog,nan,,,,,0
David Foster (Album),nan,,,,,0
David Foster (producer),nan,,,,,0
"Russ Titelman, Steve Winwood (producers)",nan,,,,,0
Paul Simon (producer),nan,,,,,0
Michael Omartian (producer),nan,,,,,0
"Pleasures Of Their Company (Bach, Gounod, Villa-Lobos) (Album)",nan,,,,,0
Mendelssohn: Symphony No. 3 In A Minor (Scottish) And No. 4 In A (Italian) (Album),nan,,,,,0
Copland: Billy The Kid And Rodeo (Complete Ballets) (Album),nan,,,,,0
Bernstein: Candide (Album),nan,,,,,0
Beethoven: Symphony No. 9 In D Minor (Choral) (Album),nan,,,,,0
Beethoven: Cello And Piano Sonata No. 4 In C/And Variations (Album),nan,,,,,0
Vaughan-Williams: Sinfonia Antartica (Album),nan,,,,,0
"Respighi: The Pines Of Rome, The Fountains Of Rome, Roman Festivals (Album)",nan,,,,,0
Copland: Billy The Kid And Rodeo (Album),nan,,,,,0
"Beethoven: Symphony No. 9 In D Minor \""Choral\"" (Album)",nan,,,,,0
Verdi: Un Ballo In Maschera (The Masked Ball) (Album),nan,,,,,0
Verdi: Otello (Album),nan,,,,,0
Verdi: Don Carlos (Album),nan,,,,,0
Mozart: The Marriage Of Figaro (Album),nan,,,,,0
"Choral Masterpieces: (Beethoven, Mozart, Bach, Handel, Berlioz, Haydn, Brahms, Etc.) (Album)",nan,,,,,0
Berlioz: Romeo Et Juliette (Album),nan,,,,,0
Beethoven: Missa Solemnis (Album),nan,,,,,0
Bach: Mass In B Minor (Album),nan,,,,,0
"Tomasi: Concerto For Trumpet And Orchestra/Jolivet: Concerto No. 2 For Trumpet; Concertino For Trumpet, String Orchestra And Piano (Album)",nan,,,,,0
Mozart: Horn Concerto No. 3 (Album),nan,,,,,0
Haydn: Trumpet Concerto In E Flat (Album),nan,,,,,0
"Beethoven: Piano Concerto No. 5 In E Flat (\""Emperor\"") (Album)",nan,,,,,0
Bach: Well Tempered Clavier - Book 1 (Album),nan,,,,,0
Rachmaninov: Cello And Piano Sonata (Album),nan,,,,,0
"Mozart: Music For Basset Horns (Divertimenti, Notturni, Adagios) (Album)",nan,,,,,0
Brahms: Violin And Piano Sonata; No. 1 In G/No. 2 In A/No. 3 In D Minor/Hungarian Dances (Album),nan,,,,,0
"Benny Goodman: Private Collection (Beethoven, Brahms, Von Weber) (Album)",nan,,,,,0
Weill: Stratas Sings Weill (Album),nan,,,,,0
Passione Pavarotti (Favorite Neapolitan Love Songs) (Album),nan,,,,,0
Canteloube: Chants D'Auvergne Vol.II/Triptyque (Album),nan,,,,,0
Beautiful Dreamer (The Great American Songbook) (Album),nan,,,,,0
Zwilich: Symphony No. 1 (Album),nan,,,,,0
Glass: Company (Single),nan,,,,,0
Corea: Septet (Track),nan,,,,,0
Beaser: Mountain Songs (A Cycle Of American Folk Music) (Album),nan,,,,,0
"Respighi: The Pines Of Rome, The Fountains Of Rome And Roman Festivals (Album)",nan,,,,,0
Liszt: A Faust Symphony (Album),nan,,,,,0
Copland: Billy The Kid And Rodeo (Complete Ballets) (Album),nan,,,,,0
Bernstein: Candide (Album),nan,,,,,0
Steven Epstein,nan,,,,,0
Robert Woods,nan,,,,,0
Jay David Saks,nan,,,,,0
Marc Aubort & Joanna Nickrenz,nan,,,,,0
We Are The World,nan,,,,,1
No Jacket Required,Phil Collins,,,,,1
We Are The World,nan,,,,,1
Sadeyan Paran - Ungrateful Edit,Simon Nandhra,Silent Tears,2006-01-01,25.0,296066.0,1
Saving All My Love for You,Whitney Houston,Whitney Houston,1985-02-14,66.0,238466.0,1
No Jacket Required,Phil Collins,,,,,1
We Are The World,nan,,,,,1
Miami Vice Theme,Jan Hammer,Escape From Television,1987-01-01,40.0,147600.0,1
One of the Living,Tina Turner,Private Dancer (30th Anniversary Issue),1984-05-29,26.0,251640.0,1
The Boys Of Summer,Don Henley,Building The Perfect Beast,1984-01-01,73.0,288733.0,1
Money for Nothing,Dire Straits,Brothers in Arms,1985-05-13,60.0,506400.0,1
Escape,Jeff Beck,Flash,1985-07,21.0,280066.0,1
Freeway Of Love,Aretha Franklin,Who's Zoomin' Who? (Expanded Edition),1985,46.0,352093.0,1
Never In Your Sun,Stevie Wonder,In Square Circle,1985-09-13,38.0,246960.0,1
Nightshift,Commodores,Nightshift,1985-01-01,61.0,306560.0,1
Musician,Ernie Watts,,,,,1
Freeway Of Love,nan,,,,,1
Straight to the Heart - Live,David Sanborn,Straight To The Heart (Live),1984,19.0,309666.0,1
Cleo At Carnegie - The 10th Anniversary Concert,Cleo Laine,,,,,1
Another Night In Tunisia,Bobby McFerrin,Spontaneous Inventions,1986-01-01,10.0,254200.0,1
Vocalese,nan,,,,,1
Black Codes From The Underground,nan,,,,,1
Black Codes From The Underground,nan,,,,,1
The Cotton Club - Original Motion Picture Soundtrack,John Barry,,,,,1
I Don't Know Why You Don't Want Me,Rosanne Cash,The Essential Rosanne Cash,2011-06-24,21.0,198346.0,1
Lost In The Fifties Tonight (In The Still Of The Night),Ronnie Milsap,Sings His Best Hits For Capitol Records,1996-09-17,22.0,272826.0,1
Why not me - Freestyle,Prayog Nani,Walking in Moon Light,2022-04-07,0.0,166069.0,1
Cosmic Square Dance,Chet Atkins,The Essential Chet Atkins - The Columbia Years,1983,14.0,255026.0,1
Highwayman,nan,,,,,1
Unguarded,Amy Grant,,,,,1
How Excellent Is Thy Name,Larnelle Harris,I've Just Seen Jesus,1985-01-08,14.0,124466.0,1
I've Just Seen Jesus,Sandi Patti,,,,,1
Martin,Shirley Caesar,Celebration,1985-05-06,0.0,328733.0,1
Bring Back The Days Of Yea And Nay,Marvin Winans,,,,,1
Tomorrow,Nando Fortunato,Tomorrow,2021-05-19,35.0,309254.0,1
Come Sunday,Jennifer Holliday,20th Century Masters: The Millennium Collection: Best Of Jennifer Holliday,2000-01-01,4.0,342493.0,1
Es Fácil Amar,Lani Hall,Es Fácil Amar,1985-01-01,11.0,230440.0,1
Solito,Eddie Palmieri,Solito,1985-12-31,5.0,589872.0,1
El Mambo Diablo,Tito Puente,The Complete 78's: Vol. 2,2008,20.0,188706.0,1
Simplemente Mujer,Vikki Carr,,,,,1
My Guitar Sings The Blues,B.B. King,Six Silver Strings,1985-01-01,2.0,219196.0,1
My Toot Toot,Rockin' Sidney,My Toot Toot,1991-02-13,28.0,229760.0,1
70 Years Of Hits,Frank Yankovic,,,,,1
Cliff Hanger,Jimmy Cliff,,,,,1
Follow That Bird - Original Motion Picture Soundtrack,nan,,,,,1
Whoopi Goldberg - Original Broadway Show Recording,Whoopi Goldberg,,,,,1
Ma Rainey's Black Bottom,nan,,,,,1
We Are The World - The Video Event,nan,,,,,1
Huey Lewis & The News - The Heart Of Rock 'n' Roll,Huey Lewis,,,,,1
Miami Vice Theme,nan,,,,,1
Beverly Hills Cop,nan,,,,,1
West Side Story,La Marimba De Zeferino Nandayapa,20 Grandes Temas de la Pantalla,2018-01-20,0.0,353373.0,1
Early A.M. Attitude,nan,,,,,1
Lush Life - Remastered,Nancy Wilson,Lush Life,1995-01-01,10.0,207906.0,1
Another Night In Tunisia,nan,,,,,1
Lush Life - Remastered,Nancy Wilson,Lush Life,1995-01-01,10.0,207906.0,1
"Sam Cooke Live At The Harlem Square Club, 1963",nan,,,,,1
RCA/Met - 100 Singers - 100 Years,nan,,,,,1
Brothers In Arms,nan,,,,,1
Phil Collins & Hugh Padgham,nan,,,,,1
Berlioz: Requiem,nan,,,,,1
Faure: Pelleas Et Melisande,nan,,,,,1
Schoenberg: Moses Und Aron,nan,,,,,1
Berlioz: Requiem,nan,,,,,1
"Elgar: Cello Concerto, Op. 85/Walton: Concerto For Cello & Orch.",nan,,,,,1
Ravel: Gaspard De La Nuit; Pavane Pour Une Infante Defunte; Valses Nobles Et Sentimentales,nan,,,,,1
Brahms: Cello And Piano Sonatas In E Minor And F,nan,,,,,1
Berlioz: Requiem,nan,,,,,1
,nan,,,,,1
Lloyd Webber: Requiem,nan,,,,,1
Berlioz: Requiem,nan,,,,,1
Robert Woods,nan,,,,,1
The Boys Of Summer (Single),Don Henley,,,,,0
Money For Nothing (Single Edit) - 2022 Remaster,Dire Straits,Money For Nothing (2022 Remaster),1988,45.0,248280.0,0
The Power Of Love (Single),Huey Lewis,,,,,0
Born In The U.S.A. (Single),Bruce Springsteen,,,,,0
Whitney Houston (Album),Whitney Houston,,,,,0
We Are The World-USA For Africa/The Album (Album),nan,,,,,0
The Dream Of The Blue Turtles (Album),Sting,,,,,0
Brothers In Arms (Album),Dire Straits,,,,,0
The Boys Of Summer (Single),nan,,,,,0
Money For Nothing (Single),nan,,,,,0
I Want To Know What Love Is (Single),nan,,,,,0
Everytime You Go Away (Single),nan,,,,,0
Katrina And The Waves,nan,,,,,0
Freddie Jackson,nan,,,,,0
Tonight May Have To Last Me All My Life - Remastered,Nancy Wilson,"Today, Tomorrow, Forever",2000-01-01,39.0,173466.0,0
Julian Lennon,nan,,,,,0
We Don't Need Another Hero (Thunderdome) (Single),Tina Turner,,,,,0
We Belong (Single),Pat Benatar,,,,,0
Lush Life,Linda Ronstadt,The 80's Studio Album Collection,2014-04-14,1.0,235266.0,0
Crazy For You (Single),Madonna,,,,,0
The Heat Is On (Single),Glenn Frey,,,,,0
The Dream Of The Blue Turtles (Album),Sting,,,,,0
Part-Time Lover - Single Version,Stevie Wonder,The Definitive Collection,2002-10-29,53.0,222733.0,0
Everytime You Go Away (Single),Paul Young,,,,,0
The Power Of Love (Single),Huey Lewis,,,,,0
I Want To Know What Love Is (Single),Foreigner,,,,,0
Easy Lover (Single),Philip Bailey,,,,,0
Broken Wings (Track),Mr. Mister,,,,,0
Shake Down (Single),Spyro Gyra,,,,,0
Love Theme From St. Elmo's Fire (Single),David Foster,,,,,0
Harlequin (Album),Dave Grusin,,,,,0
Axel F (Single),Harold Faltermeyer,,,,,0
What A Thrill (Track),Cyndi Lauper,,,,,0
Rock This House (Track),Nona Hendryx,,,,,0
Read My Lips (Track),Melba Moore,,,,,0
Invincible (Theme From Legend Of Billie Jean) (Single),Pat Benatar,,,,,0
Rain On The Scarecrow,John Mellencamp,Scarecrow,1985,51.0,226226.0,0
Reckless (Album),Bryan Adams,,,,,0
Just Another Night (Single),Mick Jagger,,,,,0
Centerfield (Album),John Fogerty,,,,,0
Would I Lie To You? (Single),nan,,,,,0
We Built This City (Single),Starship,,,,,0
It's Only Love (Track),Bryan Adams,,,,,0
Achy Breaky Heart - Secret Sounds Remix,Sunny Heart,Party Remix Album,2020-07-31,6.0,197860.0,0
The Ritual (Track),nan,,,,,0
Say What! (Track),Stevie Ray Vaughan,,,,,0
Rising Force (Album),Yngwie Malmsteen,,,,,0
Guitar Army (Track),Big Guitars From Texas,,,,,0
Back To Earth (Track),Northern Star,,,,,0
You Give Good Love (Single),Whitney Houston,,,,,0
New Attitude (Single),Patti LaBelle,,,,,0
Lovergirl (Track),Teena Marie,,,,,0
I Feel for You,Chaka Khan,The Studio Album Collection: 1978 - 1992,2013-07-17,9.0,343400.0,0
You Are My Lady (Single),Freddie Jackson,,,,,0
The Night I Fell In Love (Album),Luther Vandross,,,,,0
High Crime (Track),Al Jarreau,,,,,0
Chinese Wall (Album),Philip Bailey,,,,,0
The Way You Do The Things You Do/My Girl (Single),David Ruffin,,,,,0
Solid (Album),nan,,,,,0
Sisters Are Doin' It For Themselves (Track),Aretha Franklin,,,,,0
Contact (Album),nan,,,,,0
Rain Forest (Album),Paul Hardcastle,,,,,0
Pacific Coast Highway (Track),Jeff Lorber,,,,,0
Love Light In Flight (Track),Dave Valentin,,,,,0
First Avenue (Single),Buster Pearson,,,,,0
Caribbean Queen (Single),Barney Rachabane,,,,,0
Bass And Trouble,nan,,,,,0
You Give Good Love (Single),nan,,,,,0
Through The Fire (Single),nan,,,,,0
Nightshift (Single),nan,,,,,0
New Attitude (Single),nan,,,,,0
You're Under Arrest (Album),Miles Davis,,,,,0
Sportin' Life (Album),Weather Report,,,,,0
Magic Touch (Album),Stanley Jordan,,,,,0
Atlantis (Album),Wayne Shorter,,,,,0
Alternating Currents (Album),Spyro Gyra,,,,,0
The Great Songs From The Cotton Club (Album),Maxine Sullivan,,,,,0
Sing Joy Spring (Track),Janis Siegel,,,,,0
Meet Benny Bailey (Track),Cheryl Bentyne,,,,,0
Made In New York (Album),Tania Maria,,,,,0
20 Years Blue (Track),Flora Purim,,,,,0
"Oh Yes, I Remember Clifford (Track)",Alan Paul,,,,,0
"Mark Murphy Sings Nat's Choice - The Nat \""King\"" Cole Songbook, Volume I (Album)",Mark Murphy,,,,,0
Live At Vine Street (Album),Dave Frishberg,,,,,0
Beyond The Sea (Track),George Benson,,,,,0
To You (Track),nan,,,,,0
Ray's Rockhouse (Track),Jon Hendricks,,,,,0
Night In The City (Album),Phil Mattson,,,,,0
Hot IV (Album),nan,,,,,0
Blue (Track),Barry Manilow,,,,,0
American Eyes (Album),Rare Silk,,,,,0
Sing Joy Spring (Track),nan,,,,,0
Meet Benny Bailey (Track),nan,,,,,0
Magic Touch (Album),nan,,,,,0
Human Nature (Track),nan,,,,,0
Voyage (Album),Chick Corea,,,,,0
The Dream Of The Blue Turtles (Track),Sting,,,,,0
"Standards, Vol. 2 (Album)",Keith Jarrett,,,,,0
One Night With Blue Note (Album),nan,,,,,0
The African Game (Album),George Russell,,,,,0
March Of The Tadpoles (Album),Toshiko Akiyoshi,,,,,0
Don't Stop Now! (Album),Louis Bellson,,,,,0
Ambassador At Large (Album),Lionel Hampton,,,,,0
You Make Me Want To Make You Mine (Single),Juice Newton,,,,,0
The Ballad of Sally Rose,Emmylou Harris,The 80's Studio Album Collection,2014-11-04,2.0,165906.0,0
She's Single Again,Janie Fricke,17 Greatest Hits,1979,25.0,164666.0,0
Real Love (Album),Dolly Parton,,,,,0
You Make Me Feel Like A Man (Single),Ricky Skaggs,,,,,0
I Don't Mind The Thorns (If You're The Rose) (Single),Lee Greenwood,,,,,0
Forgiving You Was Easy (Single),Willie Nelson,,,,,0
Baby's Got Her Blue Jeans On (Single),Mel McDaniel,,,,,0
The Forester Sisters (Album),nan,,,,,0
Real Love (Track),Dolly Parton,,,,,0
Meet Me In Montana (Single),Marie Osmond,,,,,0
Highwayman (Single),Kris Kristofferson,,,,,0
Can't Keep A Good Man Down (Single),Alabama,,,,,0
Windy And Warm (Track),Merle Watson,,,,,0
"Vassar Clements, John Hartford, Dave Holland (Album)",Dave Holland,,,,,0
Lasso The Moon (Instrumental) (Track),Charlie McCoy,,,,,0
Folsom Prison Blues (Track),Earl Scruggs,,,,,0
Love Is Alive (Single),nan,,,,,0
Lost In The Fifties Tonight (In The Still Of The Night) (Single),nan,,,,,0
I Don't Know Why You Don't Want Me (Single),nan,,,,,0
Forty Hour Week (For A Livin') (Single),nan,,,,,0
Desperados Waiting For A Train (Single),nan,,,,,0
Baby's Got Her Blue Jeans On (Single),nan,,,,,0
Hymns Just For You (Album),Sandi Patti,,,,,0
Don't Hide Your Heart (Album),Sheila Walsh,,,,,0
Choose Life (Album),Debby Boone,,,,,0
Black And White In A Grey World (Album),Leslie Phillips,,,,,0
Power Of Praise (Album),Phil Driscoll,,,,,0
Medals (Album),Russ Taff,,,,,0
Praise To The King - He Holds The Keys Album Version,Steve Green,He Holds The Keys,1985-01-01,6.0,152866.0,0
Fifty Golden Years (Album),James Blackwood Sr.,,,,,0
Let The Wind Blow (Album),nan,,,,,0
I Could Never Say Goodbye (Single),Amy Grant,,,,,0
Commander Sozo And The Charge Of The Light Brigade (Album),nan,,,,,0
It Is Finished - Beat The System Album Version,Petra,Beat The System,1985-01-01,26.0,234000.0,0
Lift Him Up (Track),Dorothy Norwood,,,,,0
Deleon (Album),DeLeon Richards,,,,,0
Chosen (Album),Vanessa Bell Armstrong,,,,,0
Blessed Assurance (Track),Vernessa Mitchell,,,,,0
Unspeakable Joy (Album),Douglas Miller,,,,,0
Stop Your Searchin' (Try God!) (Track),Philip Nicholas,,,,,0
So Good (Album),Howard McCrary,,,,,0
Heavy Load (Album),Marvin Yancy,,,,,0
Tomorrow (Track),Carvin Winans,,,,,0
We're Waiting (Album),Sandra Crouch,,,,,0
Have Mercy (Album),Edwin Hawkins,,,,,0
Completely Yes (Track),Sandra Crouch,,,,,0
You Are The One (Track),nan,,,,,0
No More Night (Album),Glen Campbell,,,,,0
Christmas At Our House (Album),Barbara Mandrell,,,,,0
"16,000 Faces",Pat Boone,,,,,0
Ya Soy Tuyo (Album),Jose Feliciano,,,,,0
Solo Una Mujer (Album),Lucia Mendez,,,,,0
Reflexiones (Album),Jose Jose,,,,,0
Por Ella (Track),Jose Jose,,,,,0
Noche De Discotheque (Album),nan,,,,,0
Mucho Mejor (Album),Rubén Blades,,,,,0
