Song Name,Artist Name,Album Name,Release Date,Popularity Score,Length (ms),Grammy_won
Breakout (Single),Swing Out Sister,,,,,0
Alone (Single),Heart,,,,,0
Light Years (Track),Chick Corea Elektric Band,,,,,0
Keep Your Eye On Me (Album),Herb Alpert,,,,,0
It Might Be You (Track),Dave Grusin,,,,,0
Dragnet (Track),nan,,,,,0
Traveler (Album),Paul Horn,,,,,0
The Field (Track),Kitaro,,,,,0
Sweet Intentions (Track),Montreux,,,,,0
Reconciliation (Track),Liz Story,,,,,0
Between Two Worlds (Album),Patrick O'Hearn,,,,,0
Unchain My Heart (Single),Joe Cocker,,,,,0
Shakedown (Single),Bob Seger,,,,,0
Don't Mean Nothing (Single),Richard Marx,,,,,0
Better Be Good To Me (Track),Tina Turner,,,,,0
Keep Your Hands To Yourself (Single),Georgia Satellites,,,,,0
By The Light Of The Moon (Album),Los Lobos,,,,,0
Big Generator,Yes,The Studio Albums 1969-1987,1997,3.0,273173.0,0
Bad Animals (Album),Heart,,,,,0
Wipe Out (Track),Dweezil Zappa,,,,,0
Say What! (Track),Stevie Ray Vaughan,,,,,0
Pipeline,Stevie Ray Vaughan,"Solos, Sessions & Encores",1983,43.0,179826.0,0
"Paradise By The \""C\"" (Track)",Bruce Springsteen,,,,,0
Looking For A New Love (Single),Jody Watley,,,,,0
Forbidden Lover (Album),Nancy Wilson,,,,,0
For The Love Of You (Track),Whitney Houston,,,,,0
This Will Be (An Everlasting Love),Natalie Cole,The Best 70s Album In The World...Ever!,2023-02-09,0.0,170106.0,0
Skeletons (Single),Stevie Wonder,,,,,0
Lies - Single Edit,Jonathan Butler,Jonathan Butler,1987,1.0,228440.0,0
In The Midnight Hour (Track),Wilson Pickett,,,,,0
Bad (Single),Michael Jackson,,,,,0
U Got The Look (Single),Prince,,,,,0
Rock Steady (Single),nan,,,,,0
Lean On Me (Single),Club Nouveau,,,,,0
Casanova (Single),LeVert,,,,,0
Najee's Theme (Album),Najee,,,,,0
Going Home (Track),Jonathan Butler,,,,,0
Diamonds (Single),Herb Alpert,,,,,0
Boogie On Reggae Woman (Track),Stanley Turrentine,,,,,0
U Got The Look (Single),nan,,,,,0
Skeletons (Single),nan,,,,,0
Just To See Her (Single),nan,,,,,0
Casanova Street,Jaime Nanci,Toy,2014-09-27,0.0,232918.0,0
Four Corners (Album),Yellowjackets,,,,,0
Discovery (Album),Larry Carlton,,,,,0
Collaboration (Album),George Benson,,,,,0
A Change Of Heart (Album),David Sanborn,,,,,0
Easy Living (Album),Ella Fitzgerald,,,,,0
Brazilian Romance (Album),Sarah Vaughan,,,,,0
At Home (Album),Janis Siegel,,,,,0
